NAZEV,OKRES,KRAJ
Pavlice,Znojmo,Jihomoravský kraj
Pavlov,Kladno,Středočeský kraj
Pavlov,Havlíčkův Brod,Kraj Vysočina
Pavlov,Pelhřimov,Kraj Vysočina
Pavlov,Jihlava,Kraj Vysočina
Pavlov,Břeclav,Jihomoravský kraj
Pavlov,Šumperk,Olomoucký kraj
Pavlov,Žďár nad Sázavou,Kraj Vysočina
Pavlovice,Benešov,Středočeský kraj
Pavlovice u Kojetína,Prostějov,Olomoucký kraj
Pavlovice u Přerova,Přerov,Olomoucký kraj
Pavlíkov,Rakovník,Středočeský kraj
Pavlínov,Žďár nad Sázavou,Kraj Vysočina
Pazderna,Frýdek-Místek,Moravskoslezský kraj
Pašinka,Kolín,Středočeský kraj
Pašovice,Uherské Hradiště,Zlínský kraj
Pačejov,Klatovy,Plzeňský kraj
Pačlavice,Kroměříž,Zlínský kraj
Pařezov,Domažlice,Plzeňský kraj
Pchery,Kladno,Středočeský kraj
Pec,Domažlice,Plzeňský kraj
Pec pod Sněžkou,Trutnov,Královéhradecký kraj
Pecka,Jičín,Královéhradecký kraj
Pelechy,Domažlice,Plzeňský kraj
Pelhřimov,Pelhřimov,Kraj Vysočina
Pernarec,Plzeň-sever,Plzeňský kraj
Pernink,Karlovy Vary,Karlovarský kraj
Pernštejnské Jestřabí,Brno-venkov,Jihomoravský kraj
Perná,Břeclav,Jihomoravský kraj
Pertoltice,Kutná Hora,Středočeský kraj
Pertoltice,Liberec,Liberecký kraj
Pertoltice pod Ralskem,Česká Lípa,Liberecký kraj
Peruc,Louny,Ústecký kraj
Perštejn,Chomutov,Ústecký kraj
Perálec,Chrudim,Pardubický kraj
Pesvice,Chomutov,Ústecký kraj
Petkovy,Mladá Boleslav,Středočeský kraj
Petrohrad,Louny,Ústecký kraj
Petroupim,Benešov,Středočeský kraj
Petrov,Hodonín,Jihomoravský kraj
Petrov,Praha-západ,Středočeský kraj
Petrov,Blansko,Jihomoravský kraj
Petrov nad Desnou,Šumperk,Olomoucký kraj
Petrovice,Hradec Králové,Královéhradecký kraj
Petrovice,Třebíč,Kraj Vysočina
Petrovice,Blansko,Jihomoravský kraj
Petrovice,Bruntál,Moravskoslezský kraj
Petrovice,Znojmo,Jihomoravský kraj
Petrovice,Rakovník,Středočeský kraj
Petrovice,Příbram,Středočeský kraj
Petrovice,Ústí nad Orlicí,Pardubický kraj
Petrovice,Ústí nad Labem,Ústecký kraj
Petrovice I,Kutná Hora,Středočeský kraj
Petrovice II,Kutná Hora,Středočeský kraj
Petrovice u Karviné,Karviná,Moravskoslezský kraj
Petrovice u Sušice,Klatovy,Plzeňský kraj
Petrovičky,Jičín,Královéhradecký kraj
Petráveč,Žďár nad Sázavou,Kraj Vysočina
Petrůvka,Zlín,Zlínský kraj
Petrůvky,Třebíč,Kraj Vysočina
Petřvald,Karviná,Moravskoslezský kraj
Petřvald,Nový Jičín,Moravskoslezský kraj
Petříkov,České Budějovice,Jihočeský kraj
Petříkov,Praha-východ,Středočeský kraj
Peč,Jindřichův Hradec,Jihočeský kraj
Pečice,Příbram,Středočeský kraj
Pečky,Kolín,Středočeský kraj
Peřimov,Semily,Liberecký kraj
Pikárec,Žďár nad Sázavou,Kraj Vysočina
Pila,Karlovy Vary,Karlovarský kraj
Pilníkov,Trutnov,Královéhradecký kraj
Pitín,Uherské Hradiště,Zlínský kraj
Pivkovice,Strakonice,Jihočeský kraj
Pivín,Prostějov,Olomoucký kraj
Pištín,České Budějovice,Jihočeský kraj
Pičín,Příbram,Středočeský kraj
Plandry,Jihlava,Kraj Vysočina
Planá,České Budějovice,Jihočeský kraj
Planá,Tachov,Plzeňský kraj
Planá nad Lužnicí,Tábor,Jihočeský kraj
Plasy,Plzeň-sever,Plzeňský kraj
Plav,České Budějovice,Jihočeský kraj
Plaveč,Znojmo,Jihomoravský kraj
Plavsko,Jindřichův Hradec,Jihočeský kraj
Plavy,Jablonec nad Nisou,Liberecký kraj
Plazy,Mladá Boleslav,Středočeský kraj
Plaňany,Kolín,Středočeský kraj
Plch,Pardubice,Pardubický kraj
Plchov,Kladno,Středočeský kraj
Plchovice,Ústí nad Orlicí,Pardubický kraj
Plenkovice,Znojmo,Jihomoravský kraj
Plesná,Cheb,Karlovarský kraj
Pletený Újezd,Kladno,Středočeský kraj
Pleše,Jindřichův Hradec,Jihočeský kraj
Plešnice,Plzeň-sever,Plzeňský kraj
Ploskovice,Litoměřice,Ústecký kraj
Pluhův Žďár,Jindřichův Hradec,Jihočeský kraj
Plumlov,Prostějov,Olomoucký kraj
Plužná,Mladá Boleslav,Středočeský kraj
Plzeň,Plzeň-město,Plzeňský kraj
Plánice,Klatovy,Plzeňský kraj
Pláně,Plzeň-sever,Plzeňský kraj
Plískov,Rokycany,Plzeňský kraj
Pnětluky,Louny,Ústecký kraj
Poběžovice,Domažlice,Plzeňský kraj
Poběžovice u Holic,Pardubice,Pardubický kraj
Poběžovice u Přelouče,Pardubice,Pardubický kraj
Pochvalov,Rakovník,Středočeský kraj
Pocinovice,Domažlice,Plzeňský kraj
Podbořanský Rohozec,Louny,Ústecký kraj
Podbořany,Louny,Ústecký kraj
Podbrdy,Beroun,Středočeský kraj
Podbřezí,Rychnov nad Kněžnou,Královéhradecký kraj
Podbřežice,Vyškov,Jihomoravský kraj
Podhorní Újezd a Vojice,Jičín,Královéhradecký kraj
Podhořany u Ronova,Chrudim,Pardubický kraj
Podhradní Lhota,Kroměříž,Zlínský kraj
Podhradí,Zlín,Zlínský kraj
Podhradí,Cheb,Karlovarský kraj
Podhradí,Jičín,Královéhradecký kraj
Podhradí nad Dyjí,Znojmo,Jihomoravský kraj
Podivice,Vyškov,Jihomoravský kraj
Podivín,Břeclav,Jihomoravský kraj
Podkopná Lhota,Zlín,Zlínský kraj
Podlesí,Ústí nad Orlicí,Pardubický kraj
Podlesí,Příbram,Středočeský kraj
Podlešín,Kladno,Středočeský kraj
Podluhy,Beroun,Středočeský kraj
Podmoklany,Havlíčkův Brod,Kraj Vysočina
Podmokly,Rokycany,Plzeňský kraj
Podmokly,Klatovy,Plzeňský kraj
Podmoky,Havlíčkův Brod,Kraj Vysočina
Podmoky,Nymburk,Středočeský kraj
Podmolí,Znojmo,Jihomoravský kraj
Podmyče,Znojmo,Jihomoravský kraj
Podolanka,Praha-východ,Středočeský kraj
Podolí,Žďár nad Sázavou,Kraj Vysočina
Podolí,Uherské Hradiště,Zlínský kraj
Podolí,Brno-venkov,Jihomoravský kraj
Podolí,Přerov,Olomoucký kraj
Podolí,Vsetín,Zlínský kraj
Podolí I,Písek,Jihočeský kraj
Podomí,Vyškov,Jihomoravský kraj
Podsedice,Litoměřice,Ústecký kraj
Podveky,Kutná Hora,Středočeský kraj
Poděbrady,Nymburk,Středočeský kraj
Poděvousy,Domažlice,Plzeňský kraj
Poděšín,Žďár nad Sázavou,Kraj Vysočina
Podůlšany,Pardubice,Pardubický kraj
Podůlší,Jičín,Královéhradecký kraj
Pohled,Havlíčkův Brod,Kraj Vysočina
Pohledy,Svitavy,Pardubický kraj
Pohleď,Havlíčkův Brod,Kraj Vysočina
Pohnánec,Tábor,Jihočeský kraj
Pohnání,Tábor,Jihočeský kraj
Pohorovice,Strakonice,Jihočeský kraj
Pohorská Ves,Český Krumlov,Jihočeský kraj
Pohořelice,Zlín,Zlínský kraj
Pohořelice,Brno-venkov,Jihomoravský kraj
Pohoří,Rychnov nad Kněžnou,Královéhradecký kraj
Pohoří,Praha-západ,Středočeský kraj
Pojbuky,Tábor,Jihočeský kraj
Pokojov,Žďár nad Sázavou,Kraj Vysočina
Pokojovice,Třebíč,Kraj Vysočina
Pokřikov,Chrudim,Pardubický kraj
Polepy,Litoměřice,Ústecký kraj
Polepy,Kolín,Středočeský kraj
Polerady,Praha-východ,Středočeský kraj
Polerady,Most,Ústecký kraj
Polesí,Pelhřimov,Kraj Vysočina
Polevsko,Česká Lípa,Liberecký kraj
Polešovice,Uherské Hradiště,Zlínský kraj
Poleň,Klatovy,Plzeňský kraj
Police,Šumperk,Olomoucký kraj
Police,Vsetín,Zlínský kraj
Police,Třebíč,Kraj Vysočina
Police nad Metují,Náchod,Královéhradecký kraj
Polička,Svitavy,Pardubický kraj
Poličná,Vsetín,Zlínský kraj
Polkovice,Přerov,Olomoucký kraj
Polnička,Žďár nad Sázavou,Kraj Vysočina
Polná,Jihlava,Kraj Vysočina
Polná na Šumavě,Český Krumlov,Jihočeský kraj
Polní Chrčice,Kolín,Středočeský kraj
Polní Voděrady,Kolín,Středočeský kraj
Polom,Rychnov nad Kněžnou,Královéhradecký kraj
Polom,Přerov,Olomoucký kraj
Polomí,Prostějov,Olomoucký kraj
Polště,Jindřichův Hradec,Jihočeský kraj
Polánka,Plzeň-jih,Plzeňský kraj
Pomezí,Svitavy,Pardubický kraj
Pomezí nad Ohří,Cheb,Karlovarský kraj
Poniklá,Semily,Liberecký kraj
Ponědraž,Jindřichův Hradec,Jihočeský kraj
Ponědrážka,Jindřichův Hradec,Jihočeský kraj
Ponětovice,Brno-venkov,Jihomoravský kraj
Popelín,Jindřichův Hradec,Jihočeský kraj
Popice,Břeclav,Jihomoravský kraj
Popovice,Benešov,Středočeský kraj
Popovice,Brno-venkov,Jihomoravský kraj
Popovice,Uherské Hradiště,Zlínský kraj
Popovičky,Praha-východ,Středočeský kraj
Popůvky,Brno-venkov,Jihomoravský kraj
Popůvky,Třebíč,Kraj Vysočina
Postoloprty,Louny,Ústecký kraj
Postupice,Benešov,Středočeský kraj
Postřekov,Domažlice,Plzeňský kraj
Postřelmov,Šumperk,Olomoucký kraj
Postřelmůvek,Šumperk,Olomoucký kraj
Postřižín,Mělník,Středočeský kraj
Poteč,Zlín,Zlínský kraj
Potvorov,Plzeň-sever,Plzeňský kraj
Potštejn,Rychnov nad Kněžnou,Královéhradecký kraj
Potštát,Přerov,Olomoucký kraj
Potěhy,Kutná Hora,Středočeský kraj
Potůčky,Karlovy Vary,Karlovarský kraj
Poustka,Cheb,Karlovarský kraj
Pouzdřany,Břeclav,Jihomoravský kraj
Povrly,Ústí nad Labem,Ústecký kraj
Pozdeň,Kladno,Středočeský kraj
Pozděchov,Vsetín,Zlínský kraj
Pozlovice,Zlín,Zlínský kraj
Pozořice,Brno-venkov,Jihomoravský kraj
Pozďatín,Třebíč,Kraj Vysočina
Pošná,Pelhřimov,Kraj Vysočina
Poštovice,Kladno,Středočeský kraj
Počaply,Příbram,Středočeský kraj
Počedělice,Louny,Ústecký kraj
Počenice-Tetětice,Kroměříž,Zlínský kraj
Počepice,Příbram,Středočeský kraj
Počátky,Pelhřimov,Kraj Vysočina
Počítky,Žďár nad Sázavou,Kraj Vysočina
Poříčany,Kolín,Středočeský kraj
Poříčí nad Sázavou,Benešov,Středočeský kraj
Poříčí u Litomyšle,Svitavy,Pardubický kraj
Prace,Brno-venkov,Jihomoravský kraj
Pracejovice,Strakonice,Jihočeský kraj
Prachatice,Prachatice,Jihočeský kraj
Prachovice,Chrudim,Pardubický kraj
Prackovice nad Labem,Litoměřice,Ústecký kraj
Praha,Hlavní město Praha,Hlavní město Praha
Prakšice,Uherské Hradiště,Zlínský kraj
Prameny,Cheb,Karlovarský kraj
Prasek,Hradec Králové,Královéhradecký kraj
Praskačka,Hradec Králové,Královéhradecký kraj
Prasklice,Kroměříž,Zlínský kraj
Praskolesy,Beroun,Středočeský kraj
Pravice,Znojmo,Jihomoravský kraj
Pravlov,Brno-venkov,Jihomoravský kraj
Pravonín,Benešov,Středočeský kraj
Pravy,Pardubice,Pardubický kraj
Pravčice,Kroměříž,Zlínský kraj
Pražmo,Frýdek-Místek,Moravskoslezský kraj
Prlov,Vsetín,Zlínský kraj
Proboštov,Teplice,Ústecký kraj
Probulov,Písek,Jihočeský kraj
Prodašice,Mladá Boleslav,Středočeský kraj
Prokopov,Znojmo,Jihomoravský kraj
Proruby,Rychnov nad Kněžnou,Královéhradecký kraj
Prosenice,Přerov,Olomoucký kraj
Prosenická Lhota,Příbram,Středočeský kraj
Prosetín,Chrudim,Pardubický kraj
Prosetín,Žďár nad Sázavou,Kraj Vysočina
Proseč,Pelhřimov,Kraj Vysočina
Proseč,Chrudim,Pardubický kraj
Proseč pod Ještědem,Liberec,Liberecký kraj
Proseč pod Křemešníkem,Pelhřimov,Kraj Vysočina
Prosečné,Trutnov,Královéhradecký kraj
Prosiměřice,Znojmo,Jihomoravský kraj
Prostiboř,Tachov,Plzeňský kraj
Prostějov,Prostějov,Olomoucký kraj
Prostějovičky,Prostějov,Olomoucký kraj
Prostřední Bečva,Vsetín,Zlínský kraj
Prostřední Poříčí,Blansko,Jihomoravský kraj
Prosíčka,Havlíčkův Brod,Kraj Vysočina
Protivanov,Prostějov,Olomoucký kraj
Protivín,Písek,Jihočeský kraj
Provodov,Zlín,Zlínský kraj
Provodov-Šonov,Náchod,Královéhradecký kraj
Provodovice,Přerov,Olomoucký kraj
Provodín,Česká Lípa,Liberecký kraj
Prusice,Praha-východ,Středočeský kraj
Prusinovice,Kroměříž,Zlínský kraj
Prusy-Boškůvky,Vyškov,Jihomoravský kraj
Prušánky,Hodonín,Jihomoravský kraj
Prysk,Česká Lípa,Liberecký kraj
Prštice,Brno-venkov,Jihomoravský kraj
Pržno,Frýdek-Místek,Moravskoslezský kraj
Pržno,Vsetín,Zlínský kraj
Prádlo,Plzeň-jih,Plzeňský kraj
Prášily,Klatovy,Plzeňský kraj
Práče,Znojmo,Jihomoravský kraj
Průhonice,Praha-západ,Středočeský kraj
Pstruží,Frýdek-Místek,Moravskoslezský kraj
Psárov,Tábor,Jihočeský kraj
Psáry,Praha-západ,Středočeský kraj
Psáře,Benešov,Středočeský kraj
Ptení,Prostějov,Olomoucký kraj
Ptenín,Plzeň-jih,Plzeňský kraj
Ptice,Praha-západ,Středočeský kraj
Ptýrov,Mladá Boleslav,Středočeský kraj
Puchlovice,Hradec Králové,Královéhradecký kraj
Puclice,Domažlice,Plzeňský kraj
Pucov,Třebíč,Kraj Vysočina
Puklice,Jihlava,Kraj Vysočina
Pulečný,Jablonec nad Nisou,Liberecký kraj
Pustiměř,Vyškov,Jihomoravský kraj
Pustina,Ústí nad Orlicí,Pardubický kraj
Pustověty,Rakovník,Středočeský kraj
Pustá Kamenice,Svitavy,Pardubický kraj
Pustá Polom,Opava,Moravskoslezský kraj
Pustá Rybná,Svitavy,Pardubický kraj
Pustějov,Nový Jičín,Moravskoslezský kraj
Putim,Písek,Jihočeský kraj
Putimov,Pelhřimov,Kraj Vysočina
Pyšel,Třebíč,Kraj Vysočina
Pyšely,Benešov,Středočeský kraj
Pšov,Karlovy Vary,Karlovarský kraj
Pšovlky,Rakovník,Středočeský kraj
Pšánky,Hradec Králové,Královéhradecký kraj
Páleč,Kladno,Středočeský kraj
Pálovice,Třebíč,Kraj Vysočina
Pátek,Nymburk,Středočeský kraj
Pěnčín,Liberec,Liberecký kraj
Pěnčín,Prostějov,Olomoucký kraj
Pěnčín,Jablonec nad Nisou,Liberecký kraj
Pětihosty,Praha-východ,Středočeský kraj
Pětikozly,Mladá Boleslav,Středočeský kraj
Pětipsy,Chomutov,Ústecký kraj
Pěčice,Mladá Boleslav,Středočeský kraj
Pěčnov,Prachatice,Jihočeský kraj
Pěčín,Rychnov nad Kněžnou,Královéhradecký kraj
Písařov,Šumperk,Olomoucký kraj
Písek,Písek,Jihočeský kraj
Písek,Frýdek-Místek,Moravskoslezský kraj
Písek,Hradec Králové,Královéhradecký kraj
Písečná,Ústí nad Orlicí,Pardubický kraj
Písečná,Jeseník,Olomoucký kraj
Písečná,Frýdek-Místek,Moravskoslezský kraj
Písečné,Jindřichův Hradec,Jihočeský kraj
Písečné,Žďár nad Sázavou,Kraj Vysočina
Písková Lhota,Nymburk,Středočeský kraj
Písková Lhota,Mladá Boleslav,Středočeský kraj
Pístina,Jindřichův Hradec,Jihočeský kraj
Písty,Nymburk,Středočeský kraj
Píšť,Opava,Moravskoslezský kraj
Píšť,Pelhřimov,Kraj Vysočina
Píšťany,Litoměřice,Ústecký kraj
Pňov-Předhradí,Kolín,Středočeský kraj
Pňovany,Plzeň-sever,Plzeňský kraj
Pňovice,Olomouc,Olomoucký kraj
Přeborov,Písek,Jihočeský kraj
Přebuz,Sokolov,Karlovarský kraj
Přechovice,Strakonice,Jihočeský kraj
Přeckov,Třebíč,Kraj Vysočina
Předboj,Praha-východ,Středočeský kraj
Předenice,Plzeň-jih,Plzeňský kraj
Předhradí,Chrudim,Pardubický kraj
Předklášteří,Brno-venkov,Jihomoravský kraj
Předměřice nad Jizerou,Mladá Boleslav,Středočeský kraj
Předměřice nad Labem,Hradec Králové,Královéhradecký kraj
Předmíř,Strakonice,Jihočeský kraj
Přední Výtoň,Český Krumlov,Jihočeský kraj
Přední Zborovice,Strakonice,Jihočeský kraj
Předotice,Písek,Jihočeský kraj
Předslav,Klatovy,Plzeňský kraj
Předslavice,Strakonice,Jihočeský kraj
Předín,Třebíč,Kraj Vysočina
Přehořov,Tábor,Jihočeský kraj
Přehvozdí,Kolín,Středočeský kraj
Přehýšov,Plzeň-sever,Plzeňský kraj
Přelouč,Pardubice,Pardubický kraj
Přelovice,Pardubice,Pardubický kraj
Přelíc,Kladno,Středočeský kraj
Přemyslovice,Prostějov,Olomoucký kraj
Přepeře,Semily,Liberecký kraj
Přepeře,Mladá Boleslav,Středočeský kraj
Přepychy,Pardubice,Pardubický kraj
Přepychy,Rychnov nad Kněžnou,Královéhradecký kraj
Přerov,Přerov,Olomoucký kraj
Přerov nad Labem,Nymburk,Středočeský kraj
Přerubenice,Rakovník,Středočeský kraj
Přeskače,Znojmo,Jihomoravský kraj
Přestanov,Ústí nad Labem,Ústecký kraj
Přestavlky,Litoměřice,Ústecký kraj
Přestavlky,Přerov,Olomoucký kraj
Přestavlky,Plzeň-jih,Plzeňský kraj
Přestavlky,Chrudim,Pardubický kraj
Přestavlky u Čerčan,Benešov,Středočeský kraj
Převýšov,Hradec Králové,Královéhradecký kraj
Přezletice,Praha-východ,Středočeský kraj
Přešovice,Třebíč,Kraj Vysočina
Přeštice,Plzeň-jih,Plzeňský kraj
Přeštěnice,Písek,Jihočeský kraj
Přešťovice,Strakonice,Jihočeský kraj
Přibice,Brno-venkov,Jihomoravský kraj
Přibyslav,Náchod,Královéhradecký kraj
Přibyslav,Havlíčkův Brod,Kraj Vysočina
Přibyslavice,Brno-venkov,Jihomoravský kraj
Přibyslavice,Třebíč,Kraj Vysočina
Přimda,Tachov,Plzeňský kraj
Přistoupim,Kolín,Středočeský kraj
Přišimasy,Kolín,Středočeský kraj
Přáslavice,Olomouc,Olomoucký kraj
Příbor,Nový Jičín,Moravskoslezský kraj
Příbram,Příbram,Středočeský kraj
Příbram na Moravě,Brno-venkov,Jihomoravský kraj
Příbraz,Jindřichův Hradec,Jihočeský kraj
Příchovice,Plzeň-jih,Plzeňský kraj
Přídolí,Český Krumlov,Jihočeský kraj
Příkazy,Olomouc,Olomoucký kraj
Příkosice,Rokycany,Plzeňský kraj
Příkrý,Semily,Liberecký kraj
Přílepy,Kroměříž,Zlínský kraj
Přílepy,Rakovník,Středočeský kraj
Příluka,Svitavy,Pardubický kraj
Příseka,Havlíčkův Brod,Kraj Vysočina
Přísečná,Český Krumlov,Jihočeský kraj
Přísnotice,Brno-venkov,Jihomoravský kraj
Přítluky,Břeclav,Jihomoravský kraj
Přívrat,Ústí nad Orlicí,Pardubický kraj
Přívětice,Rokycany,Plzeňský kraj
Příšov,Plzeň-sever,Plzeňský kraj
Příšovice,Liberec,Liberecký kraj
Příštpo,Třebíč,Kraj Vysočina
Příčina,Rakovník,Středočeský kraj
Příčovy,Příbram,Středočeský kraj
Rabakov,Mladá Boleslav,Středočeský kraj
Rabyně,Benešov,Středočeský kraj
Rabštejnská Lhota,Chrudim,Pardubický kraj
Rabí,Klatovy,Plzeňský kraj
Racková,Zlín,Zlínský kraj
Radenice,Žďár nad Sázavou,Kraj Vysočina
Radenín,Tábor,Jihočeský kraj
Radešín,Žďár nad Sázavou,Kraj Vysočina
Radešínská Svratka,Žďár nad Sázavou,Kraj Vysočina
Radhostice,Prachatice,Jihočeský kraj
Radhošť,Ústí nad Orlicí,Pardubický kraj
Radim,Jičín,Královéhradecký kraj
Radim,Kolín,Středočeský kraj
Radimovice,Liberec,Liberecký kraj
Radimovice u Tábora,Tábor,Jihočeský kraj
Radimovice u Želče,Tábor,Jihočeský kraj
Radiměř,Svitavy,Pardubický kraj
Radkov,Žďár nad Sázavou,Kraj Vysočina
Radkov,Opava,Moravskoslezský kraj
Radkov,Tábor,Jihočeský kraj
Radkov,Jihlava,Kraj Vysočina
Radkov,Svitavy,Pardubický kraj
Radkova Lhota,Přerov,Olomoucký kraj
Radkovice,Plzeň-jih,Plzeňský kraj
Radkovice u Budče,Třebíč,Kraj Vysočina
Radkovice u Hrotovic,Třebíč,Kraj Vysočina
Radkovy,Přerov,Olomoucký kraj
Radnice,Rokycany,Plzeňský kraj
Radomyšl,Strakonice,Jihočeský kraj
Radonice,Chomutov,Ústecký kraj
Radonice,Praha-východ,Středočeský kraj
Radonín,Třebíč,Kraj Vysočina
Radostice,Brno-venkov,Jihomoravský kraj
Radostná pod Kozákovem,Semily,Liberecký kraj
Radostov,Hradec Králové,Královéhradecký kraj
Radostín,Havlíčkův Brod,Kraj Vysočina
Radostín,Žďár nad Sázavou,Kraj Vysočina
Radostín nad Oslavou,Žďár nad Sázavou,Kraj Vysočina
Radotice,Třebíč,Kraj Vysočina
Radotín,Přerov,Olomoucký kraj
Radovesice,Litoměřice,Ústecký kraj
Radovesnice I,Kolín,Středočeský kraj
Radovesnice II,Kolín,Středočeský kraj
Radošov,Třebíč,Kraj Vysočina
Radošovice,Benešov,Středočeský kraj
Radošovice,České Budějovice,Jihočeský kraj
Radošovice,Strakonice,Jihočeský kraj
Radslavice,Vyškov,Jihomoravský kraj
Radslavice,Přerov,Olomoucký kraj
Raduň,Opava,Moravskoslezský kraj
Radvanec,Česká Lípa,Liberecký kraj
Radvanice,Trutnov,Královéhradecký kraj
Radvanice,Přerov,Olomoucký kraj
Radčice,Jablonec nad Nisou,Liberecký kraj
Radějov,Hodonín,Jihomoravský kraj
Radějovice,Praha-východ,Středočeský kraj
Radějovice,Strakonice,Jihočeský kraj
Radětice,Tábor,Jihočeský kraj
Radětice,Příbram,Středočeský kraj
Radíkov,Přerov,Olomoucký kraj
Radíkovice,Hradec Králové,Královéhradecký kraj
Radíč,Příbram,Středočeský kraj
Radňoves,Žďár nad Sázavou,Kraj Vysočina
Radňovice,Žďár nad Sázavou,Kraj Vysočina
Rajhrad,Brno-venkov,Jihomoravský kraj
Rajhradice,Brno-venkov,Jihomoravský kraj
Rajnochovice,Kroměříž,Zlínský kraj
Rakousy,Semily,Liberecký kraj
Rakov,Přerov,Olomoucký kraj
Rakovice,Písek,Jihočeský kraj
Rakovník,Rakovník,Středočeský kraj
Raková,Rokycany,Plzeňský kraj
Raková u Konice,Prostějov,Olomoucký kraj
Rakvice,Břeclav,Jihomoravský kraj
Rakůvka,Prostějov,Olomoucký kraj
Ralsko,Česká Lípa,Liberecký kraj
Rantířov,Jihlava,Kraj Vysočina
Raná,Louny,Ústecký kraj
Raná,Chrudim,Pardubický kraj
Rančířov,Jihlava,Kraj Vysočina
Rapotice,Třebíč,Kraj Vysočina
Rapotín,Šumperk,Olomoucký kraj
Rapšach,Jindřichův Hradec,Jihočeský kraj
Rasošky,Náchod,Královéhradecký kraj
Raspenava,Liberec,Liberecký kraj
Rataje,Tábor,Jihočeský kraj
Rataje,Kroměříž,Zlínský kraj
Rataje,Benešov,Středočeský kraj
Rataje nad Sázavou,Kutná Hora,Středočeský kraj
Ratboř,Kolín,Středočeský kraj
Ratenice,Kolín,Středočeský kraj
Ratiboř,Jindřichův Hradec,Jihočeský kraj
Ratiboř,Vsetín,Zlínský kraj
Ratibořské Hory,Tábor,Jihočeský kraj
Ratměřice,Benešov,Středočeský kraj
Ratíškovice,Hodonín,Jihomoravský kraj
Razová,Bruntál,Moravskoslezský kraj
Raškovice,Frýdek-Místek,Moravskoslezský kraj
Rašov,Brno-venkov,Jihomoravský kraj
Rašovice,Kutná Hora,Středočeský kraj
Rašovice,Vyškov,Jihomoravský kraj
Rašín,Jičín,Královéhradecký kraj
Ražice,Písek,Jihočeský kraj
Račetice,Chomutov,Ústecký kraj
Račice,Litoměřice,Ústecký kraj
Račice,Rakovník,Středočeský kraj
Račice,Žďár nad Sázavou,Kraj Vysočina
Račice,Třebíč,Kraj Vysočina
Račice nad Trotinou,Hradec Králové,Královéhradecký kraj
Račice-Pístovice,Vyškov,Jihomoravský kraj
Račiněves,Litoměřice,Ústecký kraj
Račín,Žďár nad Sázavou,Kraj Vysočina
